Freq.	V(i_sns_pga)	V(v_sns_pga)
5.75439937337163e+03	(1.04297288664590e+00dB,-1.35598329890832e+02°)	(1.76783533206477e+00dB,-4.49446739949212e+01°)
6.02559586074364e+03	(1.26240271227013e+00dB,-1.37097415942740e+02°)	(1.58689669497894e+00dB,-4.64129140863350e+01°)
6.30957344480200e+03	(1.47274203158956e+00dB,-1.38609563778824e+02°)	(1.39683566239208e+00dB,-4.78927569704567e+01°)
6.60693448007603e+03	(1.67396064217446e+00dB,-1.40132419041423e+02°)	(1.19761140382260e+00dB,-4.93817782101760e+01°)
6.91830970918944e+03	(1.86606342385436e+00dB,-1.41663627639051e+02°)	(9.89229610985412e-01dB,-5.08775516522816e+01°)
7.24435960074998e+03	(2.04909609741525e+00dB,-1.43200875057632e+02°)	(7.71731352788143e-01dB,-5.23776823193256e+01°)
7.58577575029192e+03	(2.22314371238783e+00dB,-1.44741904924263e+02°)	(5.45196296475228e-01dB,-5.38798379561517e+01°)
7.94328234724290e+03	(2.38832852105615e+00dB,-1.46284565933107e+02°)	(3.09743639899161e-01dB,-5.53817810777545e+01°)
8.31763771102680e+03	(2.54481092211143e+00dB,-1.47826824208081e+02°)	(6.55246480699738e-02dB,-5.68813883869553e+01°)
8.70963589956090e+03	(2.69278121555093e+00dB,-1.49366795108013e+02°)	(-1.87270457937188e-01dB,-5.83766836465963e+01°)
9.12010839355920e+03	(2.83246539820529e+00dB,-1.50902768308956e+02°)	(-4.48428167602323e-01dB,-5.98658558168619e+01°)
9.54992586021446e+03	(2.96411411630010e+00dB,-1.52433212598276e+02°)	(-7.17701788989201e-01dB,-6.13472780194259e+01°)
1.00000000000001e+04	(3.08800392783293e+00dB,-1.53956819316740e+02°)	(-9.94824628177595e-01dB,-6.28195220083993e+01°)
1.04712854805091e+04	(3.20443195069882e+00dB,-1.55472485475404e+02°)	(-1.27950510416734e+00dB,-6.42813839801278e+01°)
1.09647819614320e+04	(3.31371298611572e+00dB,-1.56979343380174e+02°)	(-1.57143977182896e+00dB,-6.57318670584232e+01°)
1.14815362149690e+04	(3.41617781254219e+00dB,-1.58476754263896e+02°)	(-1.87030887811933e+00dB,-6.71702121584637e+01°)
1.20226443461743e+04	(3.51216560513918e+00dB,-1.59964317818183e+02°)	(-2.17578167016911e+00dB,-6.85958889843567e+01°)
1.25892541179418e+04	(3.60202426091345e+00dB,-1.61441874471021e+02°)	(-2.48752518198643e+00dB,-7.00085932008605e+01°)
1.31825673855642e+04	(3.68610751306017e+00dB,-1.62909492580054e+02°)	(-2.80520093599985e+00dB,-7.14082487381703e+01°)
