Freq.	V(i_sns)	V(v_sns)
1.25892541179418e+03	(-1.80242020068587e+01dB,-1.05223566991334e+02°)	(4.01183619916341e+00dB,-1.51354827709785e+01°)
1.31825673855642e+03	(-1.76507189983436e+01dB,-1.05909606677252e+02°)	(3.98530224087730e+00dB,-1.58173707624718e+01°)
1.38038426460290e+03	(-1.72796088147391e+01dB,-1.06623599179601e+02°)	(3.95639382080333e+00dB,-1.65270158476144e+01°)
1.44543977074594e+03	(-1.69110658583081e+01dB,-1.07366280551148e+02°)	(3.92491637875591e+00dB,-1.72651448462099e+01°)
1.51356124843622e+03	(-1.65452971037747e+01dB,-1.08138349693650e+02°)	(3.89066276685277e+00dB,-1.80324469905349e+01°)
1.58489319246113e+03	(-1.61825223875320e+01dB,-1.08940460973050e+02°)	(3.85341295883772e+00dB,-1.88295665198758e+01°)
1.65958690743757e+03	(-1.58229745151744e+01dB,-1.09773214951233e+02°)	(3.81293394093673e+00dB,-1.96570933904469e+01°)
1.73780082874939e+03	(-1.54668991697784e+01dB,-1.10637146965352e+02°)	(3.76897980180989e+00dB,-2.05155518319539e+01°)
1.81970085861000e+03	(-1.51145547568750e+01dB,-1.11532717328638e+02°)	(3.72129188564206e+00dB,-2.14053905243821e+01°)
1.90546071796326e+03	(-1.47662119919809e+01dB,-1.12460299266943e+02°)	(3.66959920248696e+00dB,-2.23269705094685e+01°)
1.99526231496890e+03	(-1.44221532861452e+01dB,-1.13420167015586e+02°)	(3.61361904039146e+00dB,-2.32805532611857e+01°)
2.08929613085406e+03	(-1.40826719015733e+01dB,-1.14412483695254e+02°)	(3.55305780721794e+00dB,-2.42662885340444e+01°)
2.18776162394957e+03	(-1.37480708232944e+01dB,-1.15437288947105e+02°)	(3.48761215617623e+00dB,-2.52842019690724e+01°)
2.29086765276779e+03	(-1.34186613307005e+01dB,-1.16494486319022e+02°)	(3.41697041121471e+00dB,-2.63341824496943e+01°)
2.39883291901951e+03	(-1.30947613395440e+01dB,-1.17583832364469e+02°)	(3.34081422165647e+00dB,-2.74159711686020e+01°)
2.51188643150960e+03	(-1.27766932834350e+01dB,-1.18704924391598e+02°)	(3.25882067701068e+00dB,-2.85291493431408e+01°)
2.63026799189540e+03	(-1.24647818473516e+01dB,-1.19857191479541e+02°)	(3.17066456941570e+00dB,-2.96731291965512e+01°)
2.75422870333819e+03	(-1.21593512642659e+01dB,-1.21039885547487e+02°)	(3.07602109257561e+00dB,-3.08471449897519e+01°)
2.88403150312663e+03	(-1.18607224026516e+01dB,-1.22252075124470e+02°)	(2.97456874938793e+00dB,-3.20502467521519e+01°)
3.01995172040204e+03	(-1.15692095192848e+01dB,-1.23492640654783e+02°)	(2.86599259380826e+00dB,-3.32812955463049e+01°)
3.16227766016841e+03	(-1.12851168797019e+01dB,-1.24760273428126e+02°)	(2.74998760454452e+00dB,-3.45389623545943e+01°)
3.31131121482594e+03	(-1.10087351678688e+01dB,-1.26053476750832e+02°)	(2.62626226897495e+00dB,-3.58217292053206e+01°)
3.46736850452535e+03	(-1.07403378286096e+01dB,-1.27370570965956e+02°)	(2.49454223368913e+00dB,-3.71278941449646e+01°)
3.63078054770105e+03	(-1.04801773738657e+01dB,-1.28709701371055e+02°)	(2.35457399052094e+00dB,-3.84555791054012e+01°)
3.80189396320565e+03	(-1.02284818537992e+01dB,-1.30068850639072e+02°)	(2.20612839699384e+00dB,-3.98027422720874e+01°)
3.98107170553501e+03	(-9.98545141648419e+00dB,-1.31445854091529e+02°)	(2.04900410736351e+00dB,-4.11671933011022e+01°)
4.16869383470339e+03	(-9.75125520853184e+00dB,-1.32838418769349e+02°)	(1.88303066183497e+00dB,-4.25466123307969e+01°)
4.36515832240170e+03	(-9.52602864525234e+00dB,-1.34244145833865e+02°)	(1.70807120526240e+00dB,-4.39385723206535e+01°)
4.57088189614880e+03	(-9.30987112656516e+00dB,-1.35660555452718e+02°)	(1.52402475902854e+00dB,-4.53405638711714e+01°)
4.78630092322643e+03	(-9.10284428958492e+00dB,-1.37085114056124e+02°)	(1.33082795507166e+00dB,-4.67500224105674e+01°)
5.01187233627277e+03	(-8.90497091209366e+00dB,-1.38515263576913e+02°)	(1.12845611773713e+00dB,-4.81643573607466e+01°)
